Estallido tipo 3										
ESTALLIDOS VISTOS POR LA RED CALLISTO	FULGURACION									
Fecha	Hora	TIPO	VISTO POR	Hora_i	Hora_pk	Hora_f	Clase	Lugar	RA	fulgf_i
20200308	15:33-15:40	III	MEXART							
20201027	17:16-17:17	III	MEXART							
20201027	17:24-17:26	III	MEXART							
20201028	20:55-20:56	III	MEXART							
20201118	19:13-19:13	III	MEXART							
20201118	21:33-21:35	III	MEXART							
20201120	19:33-19:34	III	MEXART							
20201120	21:01-21:02	III	MEXART							
20201122	14:16-14:19	III	MEXART							
20201122	16:16-16:16	III	MEXART							
20201124	19:12-19:13	III	MEXART							
20201127	04:41-04:42	III	MEXART							
20201201	23:58-23:58	III	MEXART							
20201229	21:31-21:32	III	MEXART							
20210218	18:04-18:04	III	MEXART							
20210421	21:31-21:31	III	MEXART							
20210423	18:13-18:14	III	MEXART							
20210426	18:30-18:33	III	MEXART							
20210507	00:36-00:37	III	MEXART							
20210509	13:54-13:56	III	MEXART	13:38	13:58	14:09	C4.0	N16E51	2822	165
20210511	16:29-16:29	III	MEXART							
20210516	13:36-13:38	III	MEXART							
20210516	19:18-19:19	III	(MEXART)							
20210521	18:51-18:52	III	MEXART							
20210521	19:24-19:30	III	MEXART	19:15	19:28	19:32	C4.8	N18E29	2824	95
20210521	19:50-19:50	III	MEXART							
20210521	22:59-23:01	III	MEXART							
20210522	17:07-17:11	III	MEXART	17:03	17:11	17:16	M1.1	N18E18	2824	180
20210523	15:05-15:11	III	MEXART							
20210523	17:01-17:05	III	MEXART	17:00	17:05	17:10	C2.2	N20E01	2824	170
20210703	21:18-21:20	III	MEXART							
20210723	18:35-18:40	III	MEXART							
20210826	23:20-23:23	III	MEXART							
20210827	18:16-18:16	III	MEXART							
20210828	13:21-13:24	III	MEXART	13:08	13:11	13:15	C1.7	S25W03	2860	75
20210830	19:33-19:35	III	MEXART	19:29	19:40	19:45	C1.7	S26W30	2860	90
20210830	21:31-21:35	III	MEXART	21:26	21:34	21:38	C3.0	S26W31	2860	70
20210906	14:04-14:04	III	MEXART							
20210906	18:46-18:47	III	MEXART							
20210910	20:31-20:31	III	(MEXART)							
20210919	16:38-16:38	III	(MEXART)							
20210922	18:35-18:35	III	MEXART							
20210922	18:38-18:38	III	MEXART							
20210922	18:42-18:43	III	MEXART							
20210922	20:12-20:12	III	MEXART							
20210922	21:49-21:52	III	MEXART							
20211002	23:56-23:57	III	(MEXART)	22:23	22:40	22:57	C1.6	S19W87	2877	130
20211003	13:19-13:21	III	MEXART							
20211004	13:40-13:40	III	MEXART							
20211023	15:10-15:13	III	(MEXART)							
20211023	23:05-23:09	III	(MEXART)							
20211026	14:06-14:13	III	MEXART							
20211028	15:28-15:30	III	MEXART	15:17	15:35	15:48	X1.0	S28W01	2887	1.6
20220306	13:39-13:40	III	MEXART							
20220307	15:00-15:02	III	MEXART	14:58	15:04	15:10	C1.1	S13W50	2961	70
20220310	00:40-00:40	III	MEXART							
20220312	00:08-00:08	III	(MEXART)							
20220330	17:31-17:31	III	MEXART, MEXICO-LANCE-A, MEXICO-LANCE-B	17:21	17:37	17:46	X1.3	N13W31	2975	1.8
20220409	14:40-14:40	III	(MEXART)							
20220420	19:59-20:03	III	MEXART							
20220427	00:36-00:37	III	(MEXART)							
20220502	21:17-21:18	III	MEXART							
20220503	16:17-16:23	III	MEXART	15:36	15:45	16:15	C1.7	S29E88	70	
20220509	17:35-17:36	III	(MEXART), LANCE-A, LANCE-B	17:35	17:41	17:49	C1.0	S23E58	3007	90
20220509	21:01-21:03	III	LANCE-A, LANCE-B	20:54	20:57	21:03	C1.2	S11W85	3004	80
20220510	13:58-14:00	III	MEXART, MEXICO-LANCE-A, MEXICO-LANCE-B	13:50	13:55	13:59	X1.5	S29W04	3006	1.3
20220510	19:53-19:53	III	LANCE-A, LANCE-B	19:00	22:06	22:06	C1.9	S29W09	3006	55
20220510	20:49-20:49	III	LANCE-A, LANCE-B							
20220510	23:10-23:10	III	LANCE-A, LANCE-B							
20220510	23:17-23:18	III	LANCE-A, LANCE-B	23:09	23:15	23:19	C1.6	S24E50	3007	85
20220511	14:16-14:18	III	LANCE-A, LANCE-B	13:55	14:08	14:19	C3.5	S24E40	3007	65
20220511	14:40-14:41	III	LANCE-A, LANCE-B	14:44	14:52	14:58	C4.4	S24E39	3007	85
20220511	15:17-15:20	III	LANCE-A, LANCE-B							
20220511	17:12-17:13	III	LANCE-A, LANCE-B							
20220511	17:45-17:53	III	LANCE-A, LANCE-B							
20220511	20:18-20:18	III	LANCE-A, LANCE-B							
20220511	23:12-23:12	III	LANCE-A, LANCE-B							
20220511	23:28-23:28	III	LANCE-A, LANCE-B							
20220512	12:53-12:56	III	LANCE-A, LANCE-B	12:49	13:16	13:43	C1.3	S22E26	3007	90
20220513	17:23-17:24	III	MEXART							
20220514	20:20-20:21	III	MEXART	20:04	20:16	20:31	C4.2	S13E58	3010	160
20220516	17:03-17:11	III	LANCE-A, LANCE-B	16:50	17:12	17:56	C2.4	S14E31	3010	90
20220516	18:12-18:14	III	LANCE-A, LANCE-B	18:11	18:21	18:34	C2.6	N21E45	3014	90
20220516	18:41-18:42	III	LANCE-A, LANCE-B							
20220516	22:33-22:36	III	LANCE-A, LANCE-B							
20220516	23:05-23:12	III	LANCE-A, LANCE-B							
20220517	15:07-15:08	III	(MEXART), LANCE-A, LANCE-B							
20220517	18:46-18:46	III	(LANCE-A, LANCE-B)							
20220517	19:04-19:06	III	(LANCE-A, LANCE-B)							
20220518	17:37-17:42	III	LANCE-A, LANCE-B							
20220518	23:30-23:35	III	LANCE-A, LANCE-B							
20220519	15:12-15:13	III	(LANCE-A, LANCE-B)							
20220519	15:16-15:18	III	(LANCE-A, LANCE-B)	15:05	15:16	15:23	M1.1	N22E11	3014	90
20220519	16:15-16:20	III	LANCE-A, LANCE-B							
20220519	17:50-17:51	III	LANCE-A, LANCE-B							
20220520	23:30-23:37	III	(MEXART), LANCE-B							
20220521	00:09-00:12	III	MEXART, LANCE-B	00:08	00:13	00:23	C3.5	N19W27	301470	
20220521	14:29-14:34	III	MEXART, LANCE-A, LANCE-B	14:27	14:35	14:40	C2.7	N16W26	3015	80
20220521	14:37-14:40	III	LANCE-A, LANCE-B	14:27	14:35	14:40	C2.7	N16W26	3015	90
20220521	14:44-14:45	III	LANCE-A, LANCE-B							
20220521	14:57-14:58	III	LANCE-A, LANCE-B							
20220521	16:56-16:58	III	LANCE-A, LANCE-B							
20220521	22:30-22:30	III	LANCE-A, LANCE-B							
20220521	23:37-23:37	III	MEXART, LANCE-A, LANCE-B							
20220524	14:26-14:26	III	LANCE-A, LANCE-B							
20220524	15:48-15:48	III	LANCE-A							
20220524	16:04-16:06	III	LANCE-A, LANCE-B							
20220524	16:25-16:25	III	LANCE-A, LANCE-B							
20220524	19:47-19:51	III	LANCE-A, LANCE-B							
20220525	18:13-18:14	III	LANCE-A, LANCE-B	18:09	18:24	18:43	M1.3	S19W41	3016	70
20220527	12:49-12:53	III	MEXART, LANCE-A, LANCE-B							
20220527	16:01-16:01	III	LANCE-A, LANCE-B	15:30	15:43	15:52	C1.3	S18E49	3023	90
20220527	16:07-16:10	III	MEXART, LANCE-A, LANCE-B							
20220527	16:13-16:14	III	LANCE-A, LANCE-B							
20220527	16:29-16:32	III	(MEXART), LANCE-A, LANCE-B							
20220527	16:37-16:38	III	(MEXART), LANCE-A, LANCE-B							
20220527	16:41-16:42	III	LANCE-A, LANCE-B							
20220527	18:47-18:48	III	LANCE-A, LANCE-B							
20220527	20:44-20:46	III	MEXART, LANCE-A, LANCE-B							
20220528	16:41-16:54	III	(MEXART), LANCE-A, LANCE-B							
20220528	18:58-19:03	III	LANCE-A, LANCE-B	18:53	19:04	19:12	C1.8	N12W08	3021	90
20220528	20:48-20:51	III	MEXART, LANCE-A, LANCE-B							
20220528	21:20-21:24	III	(MEXART), LANCE-A, LANCE-B							
20220528	23:15-23:16	III	LANCE-A, LANCE-B							
20220530	14:50-14:51	III	(LANCE-B)							
20220530	15:03-15:11	III	LANCE-A, LANCE-B							
20220530	18:03-18:04	III	LANCE-A, LANCE-B							
20220530	19:31-19:35	III	LANCE-A, LANCE-B							
20220530	20:32-20:32	III	LANCE-A, LANCE-B							
20220602	15:52-15:54	III	LANCE-A, LANCE-B							
20220603	20:00-20:01	III	LANCE-A, LANCE-B							
20220609	13:48-13:55	III	(MEXART), LANCE-A, LANCE-B							
20220609	16:47-16:47	III	LANCE-A, LANCE-B							
20220609	19:05-19:06	III	LANCE-B							
20220611	18:32-18:33	III	LANCE-A, LANCE-B							
20220612	14:32-14:32	III	MEXART (LANCE-A), (LANCE-B)							
20220613	12:57-12:58	III	LANCE-A, LANCE-B							
20220613	13:48-13:52	III	LANCE-A, LANCE-B							
20220613	17:37-17:37	III	LANCE-A							
20220613	18:22-18:26	III	(MEXART)							
20220613	19:14-19:14	III	LANCE-B							
20220613	23:28-23:33	III	LANCE-A, LANCE-B							
20220614	19:05-19:12	III	LANCE-A, LANCE-B							
20220614	22:04-22:13	III	(LANCE-A)							
20220615	22:01-22:10	III	LANCE-A, LANCE-B							
20220616	19:13-19:14	III	LANCE-A							
20220616	21:16-21:24	III	LANCE-A, LANCE-B							
20220616	21:40-21:43	III	MEXART, LANCE-A, LANCE-B							
20220620	21:41-21:41	III	LANCE-A, LANCE-B							
20220622	13:33-13:35	III	LANCE-A, LANCE-B							
20220622	15:16-15:16	III	LANCE-A							
20220622	16:28-16:30	III	LANCE-A, LANCE-B							
20220622	17:15-17:20	III	MEXART, LANCE-A, LANCE-B							
20220622	18:53-18:53	III	MEXART, LANCE-A, LANCE-B							
20220624	16:27-16:27	III	LANCE-A, LANCE-B							
20220625	13:58-14:01	III	LANCE-A, LANCE-B	13:52	14:02	14:06	C1.2	S14E20	3040	220
20220625	14:57-14:58	III	MEXART, LANCE-A, LANCE-B							
20220625	15:10-15:17	III	LANCE-A, LANCE-B							
20220625	16:26-16:27	III	LANCE-A, LANCE-B							
20220625	17:53-17:55	III	LANCE-A, LANCE-B							
20220625	21:25-21:26	III	LANCE-A, LANCE-B							
20220625	23:53-23:57	III	LANCE-A, LANCE-B							
20220626	00:24-00:28	III	MEXART, LANCE-A, LANCE-B							
20220626	15:55-15:56	III	MEXART, LANCE-A, LANCE-B							
20220626	22:22-22:22	III	LANCE-A, LANCE-B							
20220626	22:41-22:41	III	LANCE-A, LANCE-B							
20220627	12:50-12:53	III	MEXART, LANCE-A, LANCE-B							
20220627	13:09-13:11	III	MEXART, LANCE-A, LANCE-B							
20220627	14:02-14:10	III	MEXART, LANCE-A, LANCE-B							
20220627	17:31-17:33	III	MEXART, LANCE-A, LANCE-B							
20220627	17:45-17:53	III	MEXART, LANCE-A, LANCE-B							
20220627	20:12-20:14	III	LANCE-B							
20220627	21:35-21:36	III	MEXART, LANCE-A, LANCE-B							
20220627	22:41-22:43	III	LANCE-B							
20220627	23:04-23:04	III	LANCE-A							
20220628	18:38-18:40	III	LANCE-A, LANCE-B							
20220628	18:53-19:02	III	LANCE-A, LANCE-B							
20220628	20:02-20:02	III	LANCE-A, LANCE-B							
20220629	14:13-14:16	III	LANCE-B							
20220629	22:50-22:51	III	LANCE-A							
20220629	23:07-23:11	III	LANCE-A, LANCE-B							
20220630	15:27-15:27	III	MEXART, LANCE-A, LANCE-B							
20220630	18:18-18:19	III	LANCE-A, LANCE-B							
20220630	23:15-23:16	III	MEXART, LANCE-A, LANCE-B							
20220630	23:26-23:27	III	MEXART, LANCE-A, LANCE-B							
20220701	15:45-15:45	III	LANCE-A, LANCE-B							
20220701	16:33-16:38	III	LANCE-A, LANCE-B							
20220702	13:13-13:18	III	MEXART, LANCE-A, LANCE-B							
20220702	16:27-16:28	III	MEXART, LANCE-A, LANCE-B							
20220702	16:38-16:43	III	MEXART, LANCE-A, LANCE-B							
20220702	18:15-18:20	III	MEXART, LANCE-A							
20220702	20:49-20:50	III	MEXART, LANCE-A, LANCE-B							
20220702	21:04-21:06	III	MEXART, LANCE-A, LANCE-B							
20220702	23:55-23:59	III	MEXART, LANCE-A, LANCE-B							
20220703	00:00-00:00	III	MEXART							
20220703	13:10-13:11	III	LANCE-B							
20220703	13:39-13:39	III	LANCE-B							
20220703	14:56-14:57	III	LANCE-A, LANCE-B							
20220703	15:05-15:05	III	LANCE-B							
20220703	15.49-15:52	III	LANCE-A, LANCE-B							
20220703	16:03-16:04	III	MEXART, LANCE-A, LANCE-B							
20220703	16:20-16:23	III	MEXART, LANCE-A, LANCE-B							
20220703	16:30-16:34	III	MEXART, LANCE-A, LANCE-B							
20220703	17:00-17:00	III	LANCE-A, LANCE-B							
20220703	17:21-17:24	III	MEXART, LANCE-A, LANCE-B							
20220703	20:41-20:41	III	LANCE-A, LANCE-B							
20220704	16:07-16:08	III	LANCE-A, LANCE-B							
20220704	18:29-18:29	III	LANCE-A, LANCE-B							
20220705	15:23-15:26	III	MEXART, LANCE-A, LANCE-B							
20220705	17:45-17:46	III	LANCE-A, LANCE-B							
20220705	22:46-22:47	III	LANCE-A, LANCE-B							
20220706	16:06-16:06	III	LANCE-A, LANCE-B							
20220709	13:35-13:37	III	LANCE-A, LANCE-B							
20220709	15:27-15:27	III	LANCE-A, LANCE-B							
20220709	18:41-18:41	III	LANCE-A, LANCE-B							
20220709	22:32-22:37	III	LANCE-A, LANCE-B							
20220711	19:28-19:31	III	LANCE-A, LANCE-B							
20220712	19:34-19:34	III	MEXART, LANCE-B							
20220712	20:29-20:29	III	MEXART, LANCE-A, LANCE-B							
20220713	13:53-13:56	III	MEXART, LANCE-A, LANCE-B							
20220715	21:31-21:32	III	LANCE-A							
20220715	22:09-22:11	III	MEXART, LANCE-A, LANCE-B	22:04	22:13	22:20	C2.9	N13E54	3058	90
20220715	22:19-22:22	III	MEXART, LANCE-A, LANCE-B	22:04	22:13	22:20	C2.9	N13E54	3058	90
20220716	00:04-00:05	III	LANCE-A, LANCE-B							
20220717	21:19-21:22	III	MEXART, LANCE-A, LANCE-B							
20220718	15:43-15:48	III	LANCE-A, LANCE-B							
20220719	15:51-15:52	III	LANCE-A, LANCE-B							
20220719	16:20-16:20	III	LANCE-A, LANCE-B							
20220719	18:00-18:05	III	(LANCE-A), (LANCE-B)							
20220719	18:52-18:52	III	LANCE-A, LANCE-B							
20220719	20:20-20:25	III	LANCE-A, LANCE-B							
20220719	21:41-21:41	III	LANCE-A, LANCE-B							
20220719	23:35-23:43	III	LANCE-A, LANCE-B							
20220720	18:32-18:33	III	LANCE-A, LANCE-B							
20220721	16:51-16:51	III	LANCE-A, LANCE-B							
20220721	18:36-18:37	III	LANCE-A, LANCE-B							
20220721	19:34-19:34	III	LANCE-A, LANCE-B							
20220722	13:04-13:06	III	MEXART, LANCE-A, LANCE-B							
20220722	15:55-15:55	III	LANCE-A, LANCE-B	15:27	15:59	16:10	C1.5	N14W34	3058	90
20220722	16:20-16:21	III	LANCE-A, LANCE-B	16:10	16:14	16:52	C1.6	N15W34	3058	90
20220722	18:02-18:02	III	MEXART, LANCE-A, LANCE-B							
20220722	18:21-18:21	III	LANCE-A, LANCE-B							
20220722	19:47-19:47	III	LANCE-A, LANCE-B							
20220723	18:39-18:39	III	MEXART, LANCE-A, LANCE-B							
20220723	19:38-19:43	III	MEXART, LANCE-A, LANCE-B	19:32	19:43	19:54	C1.6	N10W05	3064	90
20220723	19:54-19:58	III	MEXART, LANCE-A, LANCE-B	19:32	19:43	19:54	C1.6	N10W05	3064	70
20220723	23:25-23:35	III	LANCE-A, LANCE-B							
20220730	20:19-20:19	III	LANCE-A, LANCE-B							
20220730	23:52-23:53	III	LANCE-A, LANCE-B							
20220802	15:37-15:38	III	LANCE-A, LANCE-B							
20220802	19:49-19:49	III	LANCE							
20220802	22:11-22:11	III	MEXART, LANCE							
20220802	22:22-22:22	III	LANCE							
20220802	22:38-22:38	III	MEXART, LANCE							
20220803	16:31-16:31	III	MEXART, LANCE							
20220803	17:55-17:56	III	MEXART, LANCE							
20220803	22:11-22:12	III	LANCE							
20220803	22:50-22:51	III	LANCE							
20220804	21:05-21:06	III	LANCE							
20220805	16:31-16:31	III	LANCE							
20220805	17:55-17:57	III	MEXART, LANCE							
20220805	19:29-19:44	III	LANCE							
20220805	21:09-21:13	III	MEXICO-LANCE							
20220805	21:52-21:53	III	MEXART, MEXICO-LANCE							
20220806	00:16-00:16	III	MEXART							
20220806	21:23-21:23	III	MEXICO-LANCE							
20220807	19:01-19:01	III	(MEXICO-LANCE)							
20220807	20:56-21:01	III	(MEXART), MEXICO-LANCE)							
20220808	00:16-00:17	III	MEXART, MEXICO-LANCE							
20220815	15:56-15:58	III	MEXICO-LANCE	15:55	16:09	16:18	C2.5	S11W46	3079	150
20220815	16:05-16:05	III	MEXICO-LANCE							
20220815	16:48-16:54	III	MEXART, MEXICO-LANCE	16:40	16:54	16:58	M2.7	S22W00	3078	130
20220817	14:36-14:48	III	MEXART, MEXICO-LANCE, (UNAM)	14:28	14:52	15:10	M1.0	S26W25	3078	220
20220817	15:35-15:35	III	MEXICO-LANCE							
20220818	15:39-15:40	III	MEXICO-LANCE							
20220818	17:59-18:00	III	MEXART, MEXICO-LANCE							
20220825	00:40-00:41	III	MEXART, MEXICO-LANCE							
20220826	19:57-19:58	III	MEXICO-LANCE							
20220827	16:23-16:24	III	MEXICO-LANCE							
20220827	18:48-18:48	III	MEXICO-LANCE							
20220827	23:02-23:11	III	MEXICO-LANCE							
20220827	23:50-23:50	III	MEXICO-LANCE							
20220828	16:03-16:05	III	MEXICO-LANCE	15:48	16:19	16:46	M6.7	S30W85	3088	120
20220829	15:54-15:58	III	MEXICO-LANCE							
20220829	16:13-16:13	III	MEXART, MEXICO-LANCE	16:11	17:05	18:00	M2.5	S28W85	3088	90
20220903	18:52-18:53	III	MEXICO-LANCE							
